P156	— Тут душу не можна скалічити, для цього існує Земля.

P157	— Ось як… Гарна новина. Власне, сім запитань. — Я знову сів.

P158	— Уважно вас слухаю. — Вона поправила волосся й подивилася на мене своїми дивовижними чорними очима.

P159	— Почнімо з простого: як мені потрапити до боса?

P160	— Простіше нікуди! Увімкнете вдома термінал і побачите запрошення вибрати дату зустрічі. Потім система нагадуватиме про неї за тиждень, за годину й за десять хвилин до початку. Нагадування можна відхилити або прийняти. У призначену мить бос сам до вас зайде.

P161	— Чудово! Дякую. Друге запитання. Перед співбесідою я стояв у величезній черзі в цьому бетонному проході й бачив нескінченну кількість людей. А співбесіда в усіх така сама, як у нас зараз? Чи є відмінності?

P162	— Коли зрозумієте причину, дякувати вже не захочеться. Не зовсім. Сама співбесіда приблизно однакова, але обстановка, приміщення, моя зовнішність і взагалі все, що їй передувало, ґрунтуються на фантазіях душі. Навіть те, як ви потрапили до цієї кімнати, — лише ваше уявлення про чистилище.

P163	— Я так розумію, і поняття раю та пекла — теж із моєї голови? — підсумував я.

P164	— Саме так. У нас це називають верхніми й нижніми рівнями, а в ідолопоклонників — сонцем і місяцем. Перед розмовою ми отримуємо все, що душа знає про ці уявлення, аби легше було порозумітися. Навіть канцелярщина в моїй мові пов’язана з тим, якою ви уявляли людину, що проводитиме цю розмову.

P165	— Як на мене, це звучить більш ніж переконливо, — з нотками офіційності заявив я.

P166	— Що у вас далі за списком?

P167	— Чи можу я зустрічатися з рідними, близькими або просто відомими людьми у своєму раю?

P168	— Ні.

P169	— Із чим це пов’язано?

P170	— Дивіться. Яке в нас правило номер один? — Вона глянула просто на мене, підняла праву руку й показала один палець.

P171	— «Усім має бути добре й чудово кожної миті перебування».

P172	— Правильно. Якщо хочете посумувати — будь ласка, але на самоті й у власному раю. А тепер уявіть: сюди потрапила душа вашої дружини, сина, колишньої, президента чи самого Ейнштейна. Ви проговорили хвилину, годину, день, рік, сто років. Колись вам усе-таки захочеться відволіктися, відпочити, на день повернутися до спогадів. Що це породить?

P173	— Образу?
