P001	<b>01.04.2132, 21:32. Внекорабельная деятельность</b>

P002	Прошло полгода, а она все так же прекрасна. Зелено-голубой шарик, который по счастливой случайности стал местом рождения будущих покорителей космоса. Когда смотришь с гало-орбиты Луны, сразу понимаешь, насколько мелочные склоки мы устраиваем в масштабах не только Вселенной, но и даже нашей Солнечной системы. Ледяная душа космоса многих пугала своими устрашающими безразличием и тишиной, но ему она нравилась. Есть время подумать о том, что космос стал его новым домом. Несмотря на трагедию, случившуюся с его отцом при постройке второй орбитальной базы, он беззаветно любил космос. Он верил, что сумеет своим теплом и желанием сделать космос таким же прекрасным для других людей, каким его видит сам.

P003	Всего на мгновение взглянув на родину человечества, лейтенант Сергей Баровский продолжил осмотр солнечной панели — она была повреждена случайно пролетающими остатками от небольших метеоритов. Он втайне надеялся на то, что это всего лишь грязь. Тогда не придется менять батареи целыми частями, как при микротрещинах. Ведь всего неделю назад они заменили целую секцию оставшимися запасными панелями. На прошлой неделе кто-то, празднуя день рождения, шутки ради выбросил остатки использованного лунного льда из шлюза. Что может случиться плохого? Верно? А как оказалось, может! И случилось. Неожиданный сильный звездный вихрь со стороны Солнца со скоростью около восьмисот километров в секунду разогнал эти кусочки льда до предельных возможностей. Этот лед по касательной зацепил секцию 24-А, и пришлось вытаскивать из закромов остатки запасов солнечных батарей. Следующих ждать только через полгода! «Просто нужно следовать правилам, и все будет без происшествий», — думал техник. Да… Все же это грязь. Отлично! Быстрая очистка, и обратно — ему не терпелось начать отмечать столетие орбитальной станции. Генри О’Хара, его вечный товарищ по несчастью, а по совместительству капитан Земного космофлота, уже был готов к началу праздника.

P004	— Генри, я закончил. Повезло! Всего лишь пыль. Прочистил секции 3-Б и 8-С. Возвращаюсь обратно.

P005	— Серж, ты «на привязи»? — Капитан вальяжно разЮлился в кресле наблюдателя-страховщика. Бокал с вином дожидался его по завершении вылазки.

P006	— Да, я от троса и не отстегивался. Зачем мне это делать?

P007	— Ах, да, вечно забываю, что ты — мистер Порядок. Сколько месяцев я тебе говорю о том, что жизнь полна радости в случайных мелочах?

P008	— Да уж все двенадцать месяцев. И это только в этот заход, — под светоотражающим щитком шлема мелькнула веселая ухмылка лейтенанта.

P009	— А ты все так же мудрого меня не слушаешь. Знаешь что? У меня есть для тебя подарок в честь завтрашнего праздника. Ты в «красном» или «синем» вышел?

P010	— В «красном», по уставу необходимо брать…

P011	— Да-да, слыхал об этом, — перебил его капитан. — Я проверил смены, и никаких обязательных вылетов на завтра нет, в честь столетия, поэтому используй третий бак запасного кислородного баллона. Тебя там ждет сюрприз.

P012	— А что там?

P013	— Вдохнешь и узнаешь. Приятного возвращения домой! Жду через десять минут.

P014	В обозначенное время, пройдя шлюз, Сергей неуверенно шел к раздевалке, а позже и вовсе сел на скамейку в полусогнутом состоянии. Постороннему наблюдателю показалось бы, что Сергея сотрясают мелкие конвульсии, и он забеспокоился бы, но Генри знал, что происходит с техником. Он направился к Сергею, чтобы помочь ему снять тяжеловесный скафандр для «внекорабельной деятельности».

P015	— Как настроение, лейтенант? — капитан улыбнулся, увидев за откидным щитком весело смеющегося Баровского. Он поставил бокал вина на скамейку и помог Сергею с раздеванием. — С праздником, коллега!

P016	— А-ха-ха! Ну… ты… и… сволочь, Генри! — в стихающем припадке радости бросил космонавт. — Какая же… сволочь!

